CP021421.1	BRK	1	463103	463103
CP021421.1	DUP	463104	463283	180
CP021421.1	BRK	463284	469828	6545
CP021421.1	DUP	469829	472115	2287
CP021421.1	BRK	472116	488233	16118
CP021421.1	DUP	488234	490813	2580
CP021421.1	BRK	490814	492459	1646
CP021421.1	DUP	492460	494497	2038
CP021421.1	BRK	494498	668590	174093
CP021421.1	DUP	668591	668821	231
CP021421.1	BRK	668822	695355	26534
CP021421.1	DUP	695356	695432	77
CP021421.1	BRK	695433	1786556	1091124
CP021421.1	DUP	1786557	1786920	364
CP021421.1	BRK	1786921	2653912	866992
CP021421.1	DUP	2653913	2655379	1467
CP021421.1	BRK	2655380	2661521	6142
CP021421.1	DUP	2661522	2661996	475
CP021421.1	BRK	2661997	2670828	8832
CP021421.1	DUP	2670829	2671541	713
CP021421.1	BRK	2671542	2672726	1185
CP021421.1	DUP	2672727	2673612	886
CP021421.1	BRK	2673613	2673962	350
CP021421.1	DUP	2673963	2674394	432
CP021421.1	BRK	2674395	2674521	127
CP021421.1	DUP	2674522	2674965	444
CP021421.1	BRK	2674966	3184485	509520
CP021421.1	DUP	3184486	3185355	870
CP021421.1	BRK	3185356	3307069	121714
