CP021422.1	BRK	1	410524	410524
CP021422.1	DUP	410525	410772	248
CP021422.1	BRK	410773	1346975	936203
CP021422.1	DUP	1346976	1347792	817
CP021422.1	BRK	1347793	1861659	513867
CP021422.1	DUP	1861660	1863348	1689
CP021422.1	BRK	1863349	3802913	1939565
CP022713.1	BRK	1	512051	512051
CP022713.1	DUP	512052	512523	472
CP022713.1	BRK	512524	1420159	907636
CP022713.1	DUP	1420160	1420286	127
CP022713.1	BRK	1420287	1650352	230066
CP022713.1	DUP	1650353	1650982	630
CP022713.1	BRK	1650983	1651803	821
CP022713.1	DUP	1651804	1652621	818
CP022713.1	BRK	1652622	1779400	126779
CP022713.1	DUP	1779401	1780102	702
CP022713.1	BRK	1780103	1928707	148605
CP022713.1	DUP	1928708	1929296	589
CP022713.1	BRK	1929297	2459279	529983
CP022713.1	DUP	2459280	2459696	417
CP022713.1	BRK	2459697	3655695	1195999
CP022713.1	DUP	3655696	3656327	632
CP022713.1	BRK	3656328	3670220	13893
CP022713.1	DUP	3670221	3670796	576
CP022713.1	BRK	3670797	4378271	707475
CP022713.1	DUP	4378272	4379036	765
CP022713.1	BRK	4379037	4676284	297248
CP022713.1	DUP	4676285	4676460	176
CP022713.1	BRK	4676461	4970385	293925
CP022713.1	DUP	4970386	4970655	270
CP022713.1	BRK	4970656	4972725	2070
CP022713.1	DUP	4972726	4972925	200
CP022713.1	BRK	4972926	5047378	74453
CP022713.1	DUP	5047379	5049037	1659
CP022713.1	BRK	5049038	5128582	79545
CP022722.1	BRK	1	1293626	1293626
CP022722.1	DUP	1293627	1297262	3636
CP022722.1	BRK	1297263	2368403	1071141
CP022722.1	DUP	2368404	2370644	2241
CP022722.1	BRK	2370645	3074356	703712
CP022722.1	DUP	3074357	3074534	178
CP022722.1	BRK	3074535	4469084	1394550
NHMQ01000001.1	BRK	1	14090	14090
NHMQ01000001.1	DUP	14091	16119	2029
NHMQ01000001.1	DUP	16118	21368	5251
NHMQ01000001.1	BRK	21369	212755	191387
NHMQ01000001.1	DUP	212756	218844	6089
NHMQ01000001.1	BRK	218845	219191	347
NHMQ01000001.1	DUP	219192	219743	552
NHMQ01000001.1	BRK	219744	220078	335
NHMQ01000001.1	DUP	220079	221688	1610
NHMQ01000001.1	BRK	221689	221698	10
NHMQ01000001.1	DUP	221699	225910	4212
NHMQ01000001.1	BRK	225911	226323	413
NHMQ01000001.1	DUP	226324	226993	670
NHMQ01000001.1	DUP	226993	230776	3784
NHMQ01000001.1	BRK	230777	233311	2535
NHMQ01000001.1	DUP	233312	233568	257
NHMQ01000001.1	BRK	233569	234173	605
NHMQ01000001.1	DUP	234174	235961	1788
NHMQ01000001.1	BRK	235962	236282	321
NHMQ01000001.1	DUP	236283	236900	618
NHMQ01000001.1	BRK	236901	237004	104
NHMQ01000001.1	DUP	237005	241699	4695
NHMQ01000001.1	BRK	241700	242085	386
NHMQ01000001.1	DUP	242086	245104	3019
NHMQ01000001.1	DUP	245104	248304	3201
NHMQ01000001.1	DUP	247798	248310	513
NHMQ01000001.1	BRK	248311	251601	3291
NHMQ01000001.1	DUP	251602	252560	959
NHMQ01000001.1	BRK	252561	252621	61
NHMQ01000001.1	DUP	252622	253038	417
NHMQ01000001.1	BRK	253039	253113	75
NHMQ01000001.1	DUP	253114	253834	721
NHMQ01000001.1	BRK	253835	253996	162
NHMQ01000001.1	DUP	253997	256593	2597
NHMQ01000001.1	BRK	256594	256917	324
NHMQ01000001.1	DUP	256918	258647	1730
NHMQ01000001.1	BRK	258648	259296	649
NHMQ01000001.1	DUP	259297	259683	387
NHMQ01000001.1	BRK	259684	260710	1027
NHMQ01000001.1	DUP	260711	262657	1947
NHMQ01000001.1	BRK	262658	1032598	769941
NHMQ01000001.1	DUP	1032599	1033292	694
NHMQ01000001.1	BRK	1033293	1209475	176183
NHMQ01000001.1	DUP	1209476	1213493	4018
NHMQ01000001.1	BRK	1213494	1676879	463386
NHMQ01000003.1	BRK	1	325383	325383
NHMQ01000003.1	DUP	325384	328388	3005
NHMQ01000003.1	BRK	328389	901821	573433
