locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJDPLKEN_00001	CDS	312				hypothetical protein
JJDPLKEN_00002	CDS	435				hypothetical protein
JJDPLKEN_00003	CDS	486				hypothetical protein
JJDPLKEN_00004	CDS	207				hypothetical protein
JJDPLKEN_00005	CDS	582				hypothetical protein
JJDPLKEN_00006	CDS	408				hypothetical protein
JJDPLKEN_00007	CDS	2208				hypothetical protein
JJDPLKEN_00008	CDS	774				hypothetical protein
JJDPLKEN_00009	CDS	2517				hypothetical protein
JJDPLKEN_00010	CDS	564				hypothetical protein
JJDPLKEN_00011	CDS	624				hypothetical protein
JJDPLKEN_00012	tRNA	76				tRNA-Glu(ctc)
JJDPLKEN_00013	CDS	993				hypothetical protein
JJDPLKEN_00014	CDS	408				hypothetical protein
JJDPLKEN_00015	tmRNA	360	ssrA			transfer-messenger RNA, SsrA
JJDPLKEN_00016	tRNA	77				tRNA-Arg(acg)
JJDPLKEN_00017	CDS	2151	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
JJDPLKEN_00018	tRNA	93				tRNA-Ser(gct)
JJDPLKEN_00019	CDS	819				hypothetical protein
JJDPLKEN_00020	CDS	888	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
JJDPLKEN_00021	CDS	1182	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
JJDPLKEN_00022	CDS	1299	hisD_1	1.1.1.23	COG0141	Histidinol dehydrogenase
JJDPLKEN_00023	CDS	897				hypothetical protein
JJDPLKEN_00024	CDS	1668				hypothetical protein
JJDPLKEN_00025	CDS	1593				hypothetical protein
JJDPLKEN_00026	CDS	327				hypothetical protein
JJDPLKEN_00027	CDS	1365	xseA_1	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
JJDPLKEN_00028	CDS	2163	aas		COG0204	Bifunctional protein Aas
JJDPLKEN_00029	CDS	261				hypothetical protein
JJDPLKEN_00030	CDS	5529				hypothetical protein
JJDPLKEN_00031	CDS	5925				hypothetical protein
JJDPLKEN_00032	CDS	750				hypothetical protein
JJDPLKEN_00033	CDS	1053	galE1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
JJDPLKEN_00034	CDS	1638	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JJDPLKEN_00035	CDS	705	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
JJDPLKEN_00036	CDS	447				hypothetical protein
JJDPLKEN_00037	CDS	996	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
JJDPLKEN_00038	CDS	1623				hypothetical protein
JJDPLKEN_00039	CDS	1893	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
JJDPLKEN_00040	CDS	639	infC_1			Translation initiation factor IF-3
JJDPLKEN_00041	CDS	420				hypothetical protein
JJDPLKEN_00042	CDS	1233				hypothetical protein
JJDPLKEN_00043	CDS	1176	dxr_1	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
JJDPLKEN_00044	CDS	519	coaD_1	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
JJDPLKEN_00045	CDS	324	prfA_1		COG0216	Peptide chain release factor 1
JJDPLKEN_00046	CDS	555				hypothetical protein
