locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAAOPJAA_00001	CDS	312				hypothetical protein
KAAOPJAA_00002	CDS	435				hypothetical protein
KAAOPJAA_00003	CDS	486				hypothetical protein
KAAOPJAA_00004	CDS	207				hypothetical protein
KAAOPJAA_00005	CDS	582				hypothetical protein
KAAOPJAA_00006	CDS	408				hypothetical protein
KAAOPJAA_00007	CDS	2208				hypothetical protein
KAAOPJAA_00008	CDS	774				hypothetical protein
KAAOPJAA_00009	CDS	2517				hypothetical protein
KAAOPJAA_00010	CDS	564				hypothetical protein
KAAOPJAA_00011	CDS	624				hypothetical protein
KAAOPJAA_00012	tRNA	76				tRNA-Glu(ctc)
KAAOPJAA_00013	CDS	993				hypothetical protein
KAAOPJAA_00014	CDS	408				hypothetical protein
KAAOPJAA_00015	tmRNA	360	ssrA			transfer-messenger RNA, SsrA
KAAOPJAA_00016	tRNA	77				tRNA-Arg(acg)
KAAOPJAA_00017	CDS	2151	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
KAAOPJAA_00018	tRNA	93				tRNA-Ser(gct)
KAAOPJAA_00019	CDS	819				hypothetical protein
KAAOPJAA_00020	CDS	888	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
KAAOPJAA_00021	CDS	1182	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
KAAOPJAA_00022	CDS	1299	hisD_1	1.1.1.23	COG0141	Histidinol dehydrogenase
KAAOPJAA_00023	CDS	897				hypothetical protein
KAAOPJAA_00024	CDS	1668				hypothetical protein
KAAOPJAA_00025	CDS	1593				hypothetical protein
KAAOPJAA_00026	CDS	327				hypothetical protein
KAAOPJAA_00027	CDS	1365	xseA_1	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
KAAOPJAA_00028	CDS	2163	aas		COG0204	Bifunctional protein Aas
KAAOPJAA_00029	CDS	261				hypothetical protein
KAAOPJAA_00030	CDS	5529				hypothetical protein
KAAOPJAA_00031	CDS	5925				hypothetical protein
KAAOPJAA_00032	CDS	750				hypothetical protein
KAAOPJAA_00033	CDS	1053	galE1	5.1.3.2	COG1088	UDP-glucose 4-epimerase
KAAOPJAA_00034	CDS	1638	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KAAOPJAA_00035	CDS	705	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
KAAOPJAA_00036	CDS	447				hypothetical protein
KAAOPJAA_00037	CDS	996	hemB_1	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
KAAOPJAA_00038	CDS	1623				hypothetical protein
KAAOPJAA_00039	CDS	1893	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase
KAAOPJAA_00040	CDS	639	infC_1			Translation initiation factor IF-3
KAAOPJAA_00041	CDS	420				hypothetical protein
KAAOPJAA_00042	CDS	1233				hypothetical protein
KAAOPJAA_00043	CDS	1176	dxr_1	1.1.1.267		1-deoxy-D-xylulose 5-phosphate reductoisomerase
KAAOPJAA_00044	CDS	519	coaD_1	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
KAAOPJAA_00045	CDS	324	prfA_1		COG0216	Peptide chain release factor 1
KAAOPJAA_00046	CDS	555				hypothetical protein
KAAOPJAA_00047	CDS	1386				hypothetical protein
KAAOPJAA_00048	CDS	804	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
KAAOPJAA_00049	CDS	849				hypothetical protein
KAAOPJAA_00050	CDS	582				hypothetical protein
KAAOPJAA_00051	CDS	870				hypothetical protein
KAAOPJAA_00052	CDS	390	tagD_1	2.7.7.39	COG0615	Glycerol-3-phosphate cytidylyltransferase
KAAOPJAA_00053	CDS	762				hypothetical protein
KAAOPJAA_00054	CDS	960				hypothetical protein
KAAOPJAA_00055	CDS	1356	hldE_1	2.7.7.70		Bifunctional protein HldE
KAAOPJAA_00056	CDS	1050				hypothetical protein
KAAOPJAA_00057	CDS	1893	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
KAAOPJAA_00058	CDS	1017				hypothetical protein
KAAOPJAA_00059	CDS	2007	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
KAAOPJAA_00060	CDS	381				hypothetical protein
KAAOPJAA_00061	CDS	420	sufE_1			Cysteine desulfuration protein SufE
KAAOPJAA_00062	CDS	957	argF_1	2.1.3.3	COG0078	Ornithine carbamoyltransferase
KAAOPJAA_00063	CDS	1689	atsA_1	3.1.6.1	COG3119	Arylsulfatase
KAAOPJAA_00064	CDS	1779	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
KAAOPJAA_00065	CDS	267	ptsH_1		COG1925	Phosphocarrier protein HPr
KAAOPJAA_00066	CDS	1023	hprK_1	2.7.11.-		HPr kinase/phosphorylase
KAAOPJAA_00067	CDS	1398	dapE_1	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
KAAOPJAA_00068	CDS	879	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KAAOPJAA_00069	CDS	591		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
KAAOPJAA_00070	CDS	1647				hypothetical protein
KAAOPJAA_00071	CDS	696			COG0325	Pyridoxal phosphate homeostasis protein
KAAOPJAA_00072	CDS	564				hypothetical protein
KAAOPJAA_00073	CDS	858				hypothetical protein
KAAOPJAA_00074	CDS	1518				hypothetical protein
KAAOPJAA_00075	CDS	891				hypothetical protein
KAAOPJAA_00076	CDS	378				hypothetical protein
KAAOPJAA_00077	CDS	3516				hypothetical protein
KAAOPJAA_00078	CDS	486	lrp_1		COG1522	Leucine-responsive regulatory protein
KAAOPJAA_00079	CDS	1170	dapX_1	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
KAAOPJAA_00080	CDS	780				hypothetical protein
KAAOPJAA_00081	CDS	663				hypothetical protein
KAAOPJAA_00082	CDS	1578	glyQS_1	6.1.1.14	COG0423	Glycine--tRNA ligase
KAAOPJAA_00083	CDS	831	dkgB	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
KAAOPJAA_00084	CDS	2415				hypothetical protein
KAAOPJAA_00085	CDS	2217				hypothetical protein
KAAOPJAA_00086	CDS	987				hypothetical protein
KAAOPJAA_00087	CDS	615				hypothetical protein
KAAOPJAA_00088	CDS	891				hypothetical protein
KAAOPJAA_00089	CDS	984				hypothetical protein
KAAOPJAA_00090	CDS	1413	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
KAAOPJAA_00091	CDS	294	gatC_1	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
KAAOPJAA_00092	CDS	333				hypothetical protein
KAAOPJAA_00093	CDS	588				hypothetical protein
KAAOPJAA_00094	CDS	297				hypothetical protein
KAAOPJAA_00095	CDS	837				hypothetical protein
KAAOPJAA_00096	CDS	1212				hypothetical protein
KAAOPJAA_00097	CDS	1524				hypothetical protein
KAAOPJAA_00098	CDS	825				hypothetical protein
KAAOPJAA_00099	CDS	1020				hypothetical protein
KAAOPJAA_00100	CDS	765				hypothetical protein
KAAOPJAA_00101	CDS	180				hypothetical protein
KAAOPJAA_00102	tRNA	75				tRNA-Gly(gcc)
KAAOPJAA_00103	CDS	1182				hypothetical protein
KAAOPJAA_00104	CDS	807	lexA_1	3.4.21.88		LexA repressor
KAAOPJAA_00105	CDS	327				hypothetical protein
KAAOPJAA_00106	CDS	180				hypothetical protein
KAAOPJAA_00107	CDS	219				hypothetical protein
KAAOPJAA_00108	CDS	873				hypothetical protein
KAAOPJAA_00109	CDS	1206	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
KAAOPJAA_00110	CDS	996				hypothetical protein
KAAOPJAA_00111	CDS	837		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
KAAOPJAA_00112	CDS	1080			COG1073	putative protein
