locus_tag	ftype	length_bp	gene	EC_number	COG	product
CBKIEKNK_00001	CDS	210				hypothetical protein
CBKIEKNK_00002	CDS	1614				hypothetical protein
CBKIEKNK_00003	CDS	462				hypothetical protein
CBKIEKNK_00004	CDS	1215				hypothetical protein
CBKIEKNK_00005	CDS	468	ribH_1	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
CBKIEKNK_00006	CDS	1272	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
CBKIEKNK_00007	CDS	636	ribE_1	2.5.1.9	COG0307	Riboflavin synthase
CBKIEKNK_00008	CDS	1101	ribD_1		COG0117	Riboflavin biosynthesis protein RibD
CBKIEKNK_00009	CDS	282				hypothetical protein
CBKIEKNK_00010	CDS	138				hypothetical protein
CBKIEKNK_00011	CDS	114				hypothetical protein
CBKIEKNK_00012	CDS	261				hypothetical protein
CBKIEKNK_00013	CDS	282				hypothetical protein
CBKIEKNK_00014	CDS	327				hypothetical protein
CBKIEKNK_00015	CDS	615				hypothetical protein
CBKIEKNK_00016	CDS	858				hypothetical protein
CBKIEKNK_00017	CDS	1209				hypothetical protein
CBKIEKNK_00018	CDS	1683	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
CBKIEKNK_00019	CDS	414			COG0071	putative Hsp20 family chaperone
CBKIEKNK_00020	CDS	291				hypothetical protein
CBKIEKNK_00021	CDS	1581	nfdA_1	3.5.1.91		N-substituted formamide deformylase
CBKIEKNK_00022	CDS	1389				hypothetical protein
CBKIEKNK_00023	CDS	258				hypothetical protein
CBKIEKNK_00024	CDS	1758				hypothetical protein
CBKIEKNK_00025	CDS	2931				hypothetical protein
CBKIEKNK_00026	CDS	1437				hypothetical protein
CBKIEKNK_00027	tRNA	84				tRNA-Leu(tag)
CBKIEKNK_00028	CDS	1290	xerC_1			Tyrosine recombinase XerC
CBKIEKNK_00029	CDS	219				hypothetical protein
CBKIEKNK_00030	CDS	363	mazF_1	3.1.-.-		Endoribonuclease MazF
CBKIEKNK_00031	CDS	429				hypothetical protein
CBKIEKNK_00032	CDS	366				hypothetical protein
CBKIEKNK_00033	CDS	423				hypothetical protein
CBKIEKNK_00034	CDS	309				hypothetical protein
CBKIEKNK_00035	CDS	657				hypothetical protein
CBKIEKNK_00036	CDS	144				hypothetical protein
CBKIEKNK_00037	CDS	1806				hypothetical protein
CBKIEKNK_00038	CDS	684	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
CBKIEKNK_00039	CDS	1038	resE_1	2.7.13.3		Sensor histidine kinase ResE
CBKIEKNK_00040	CDS	687	regX3_1		COG0745	Sensory transduction protein regX3
CBKIEKNK_00041	CDS	198				hypothetical protein
CBKIEKNK_00042	CDS	345				hypothetical protein
CBKIEKNK_00043	CDS	252				hypothetical protein
CBKIEKNK_00044	CDS	1143				hypothetical protein
CBKIEKNK_00045	CDS	207				hypothetical protein
CBKIEKNK_00046	CDS	1194	Int-Tn_1			Transposase from transposon Tn916
CBKIEKNK_00047	CDS	900				hypothetical protein
CBKIEKNK_00048	CDS	360				hypothetical protein
CBKIEKNK_00049	CDS	378				hypothetical protein
